id, tag1, tag2, tag3
20934097, chic fusion outerwear, belted silhouette, two-tone trenchcoat
18958106, urban-chic, minimalist, sporty-luxe
17915246, classic, tailored, sophisticated
18658922, elegant, double-breasted, tailored-fit
21256100, minimalist, longline silhouette, timeless elegance
21119012, modern-layered, two-tone, quilted-texture
20472162, bohemian-style, patterned-wrap, fringed-detail
20471984, longline, minimalist, cozy
19414491, minimalist, oversized, neutral-tone
19537795, classic-trench, belted-waist, tailored-fit
19948608, classic peacoat, double-breasted silhouette, tailored elegance
20703174, vibrant-colored, classic-cut, elegant-design
20532564, PufferSilhouette, UrbanChic, VersatileBlack
19352493, tribal-inspired, vibrant-patterned, fringe-detail
18849197, classic trench, belted waist, double-breasted
20527841, minimalist, lightweight, casual
19724871, oversized puffer, sporty chic, color-blocked warmth
20946246, classic-elegance, tailored-fit, belted-waist
21114302, classic, tailored, neutral-toned
18991003, glossy finish, puffer design, hooded warmth
20308563, abstract print, oversized silhouette, winter warmth
18378865, sleek, edgy, sophisticated
20238042, timeless-elegance, neutral-chic, double-breasted-sophistication
16827307, Quilted, Longline, Puffer
20515521, textured, oversized, minimalist
17783516, elegant, cinched-waist, cape-like
20112796, luxurious texture, bold pattern, vintage glamour
20542814, elegant-cape, modern-minimalist, chic-monochrome
20514656, glossy finish, oversized fit, puffer design
15951191, vintage-inspired, elegant-length, shearling-trim
20878004, cozy chic, winter staple, plush outerwear
20849911, urban-winter, casual-comfort, sleek-puffer
20045170, vibrant-print, maxi-length, flowy-silhouette
17404428, classic trench, checkered accent, belted silhouette
21003439, timeless-elegance, minimalist-classic, structured-coziness
14179801, classic-belted-trench, minimalist-elegance, timeless-sophistication
21284285, minimalist, elegant, timeless
16063225, elegant-lace, tailored-fit, sophisticated-black
19760361, mustard-yellow, double-breasted, classic-tailored
19907590, military-inspired, leather elegance, gold-buttoned detail
20127211, minimalist, sleek, urban-cool
20086975, cozy-chic, relaxed-fit, textured-warmth
16383428, minimalist, winter-cozy, oversized-fit
20702832, casual-chic, minimalist-design, urban-comfort
21026589, elegant, belted, tailored
18945217, classic silhouette, neutral palette, structured elegance
19989550, Double-breasted, tailored fit, minimalist design
