id,shortDescription,description,categories,gender,imageUrl,brandName,seasonCode,materials,colors,path
20934097,quilted layered wool coat,"quilted layered wool coat from sacai featuring light beige, wool, layered design, padded panels, quilted panels, throat latch, epaulettes, rounded collar, funnel neck, double-breasted button fastening, concealed front fastening, long sleeves, belted cuffs, belted waist, two side welt pockets, side press-stud fastening, inverted pleat, straight hem and mid-length.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/93/40/97/20934097_50966688_54.jpg,sacai,AW23,"Nylon, Cupro, Polyester, Wool, Cupro","Brown, 651 BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20934097.jpg
18958106,Hooded down jacket,"Hooded down jacket from HERNO featuring navy blue, virgin wool blend, feather down, padded design, high neck, drawstring hood, front zip fastening, long sleeves, cuff zips and slip pockets to the sides.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/18/95/81/06/18958106_41273958_54.jpg,Herno,AW22,"Polyamide, Virgin Wool, Polyamide, Feather Down","Blue, 9200 NAVY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18958106.jpg
17915246,logo patch single-breasted coat,"logo patch single-breasted coat from Golden Goose featuring navy blue, virgin wool blend, V-neck, notched collar, front button and zip fastening, long sleeves, logo patch at the sleeve and mid-length.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/17/91/52/46/17915246_40727049_54.jpg,Golden Goose,AW23,"Polyamide, Cupro, Viscose, Virgin Wool","Blue, 50486 DARK BLUE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/17915246.jpg
18658922,double-breasted wool coat,"double-breasted wool coat from Balmain featuring brown, wool, wide notch lapels, fitted waistline, embossed gold-tone buttons, double-breasted button fastening, long sleeves, straight hem, above-knee length, two side flap pockets and rear slit.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/18/65/89/22/18658922_40969644_54.jpg,Balmain,AW23,Wool,"Brown, 8KC",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18658922.jpg
21256100,double-breasted cashmere coat,"double-breasted cashmere coat from DUSAN featuring charcoal grey, cashmere, peak lapels, faux double-breasted front, long sleeves, two side patch pockets, mid-calf length and straight hem.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/21/25/61/00/21256100_51220268_54.jpg,Dusan,AW23,Cashmere,"Black, Grey, CHARCOLE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21256100.jpg
21119012,Chasuble sleeveless layered coat,"Chasuble sleeveless layered coat from PLAN C featuring layered design, quilted, V-neck, sleeveless, front zip fastening, belted waist, two front pouch pockets, straight hem, brown and black.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/21/11/90/12/21119012_51168525_54.jpg,Plan C,AW23,"Wool, Polyester, Cotton, Polyamide, Polyester","Brown, Black, R0N99 CAMEL AND BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21119012.jpg
20472162,patterned-jacquard long cape,"patterned-jacquard long cape from ETRO featuring light beige, mohair-wool blend, patterned jacquard, high neck, striped border and fringed edge.","Women, Clothing, Coats, Capes",Woman,https://cdn-images.farfetch-contents.com/20/47/21/62/20472162_50746896_54.jpg,ETRO,AW23,"Wool, Mohair, Polyamide","White, Multicolour, 0250",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20472162.jpg
20471984,long puffer coat,light beige feather down padded design classic hood press-stud fastening collar long sleeves front zip fastening two side flap pockets elasticated cuffs short side slits straight hem calf-length,"Women, Clothing, Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/20/47/19/84/20471984_50980345_54.jpg,Brunello Cucinelli,AW23,"Polyester, Cotton, Polyamide, Polyester, Feather Down, Nylon","Grey, C7958 - DOVE GREY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20471984.jpg
19414491,shawl-lapel coat,"Elephant grey shawl-lapel coat from TOTEME featuring wool-cashmere blend, shawl lapels and long sleeves.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/19/41/44/91/19414491_42767098_54.jpg,TOTEME,SS23,"Wool, Cashmere, Polyester, Viscose","Neutrals, 311 ELEPHANT",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19414491.jpg
19537795,belted double-breasted trench coat,"belted double-breasted trench coat from HERNO featuring camel brown, cotton, gold-tone hardware, classic collar, double-breasted button fastening, belted waist, long sleeves, belted cuffs, mid-length, two side welt pockets, storm flap and rear slit.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/19/53/77/95/19537795_43690010_54.jpg,Herno,AW23,Cotton,"Brown, 2000 BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19537795.jpg
19948608,wool-blend peacoat,"wool-blend peacoat from LOW CLASSIC featuring navy blue, wool blend, spread collar, double-breasted button fastening, long sleeves, slip pockets to the sides, full lining and straight hem.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/19/94/86/08/19948608_50989856_54.jpg,Low Classic,AW23,"Nylon, Wool, Polyester","Blue, 0302 - NAVY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19948608.jpg
20703174,single-breasted buttoned wool coat,"single-breasted buttoned wool coat from HARRIS WHARF LONDON featuring amethyst purple, notched lapels, long sleeves, front button fastening, chest welt pocket, two side flap pockets, American rear vent, straight hem and wool. We've partnered with Good On You — an independent agency that rates how brands perform in relation to their impact on the planet, people and animals, with a multi-criteria rating simplified to a five points scale. In order to be awarded our conscious label, larger brands need to score a minimum of four out of five ('Good'), while smaller brands must score at least three out of five ('It's A Start'). This item comes from a brand rated three out of five ('It's A Start') by Good on You. Please note, this is a brand-level rating and does not guarantee that this product is made with conscious materials.. Learn more about what makes a product Conscious on our Conscious Criteria page.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/70/31/74/20703174_50668582_54.jpg,Harris Wharf London,AW23,Wool,"Purple, 580 DEEP AMETHYST PURPLE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20703174.jpg
20532564,Selenga padded midi jacket,"Selenga padded midi jacket from MONCLER featuring black, padded design, high-shine finish, logo patch at the sleeve, drawstring hood, front two-way zip fastening, two front welt pockets, long sleeves, elasticated cuffs, straight hem and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/20/53/25/64/20532564_50646282_54.jpg,Moncler,AW23,Polyamide,"Black, 999",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20532564.jpg
19352493,Icon fringe-detail belted coat,"White/pollen Icon fringe-detail belted coat from ALANUI featuring virgin wool, V-neck, belted waist, long sleeves and fringe detailing.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/19/35/24/93/19352493_43366710_54.jpg,Alanui,AW23,Virgin Wool,"White, Yellow, 0118 WHITE ARPA - POLLEN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19352493.jpg
18849197,Chelsea Heritage double-breasted trench coat,"Chelsea Heritage double-breasted trench coat from BURBERRY featuring navy blue, cotton, spread collar, hook and eye fastening, Vintage Check-pattern lining, epaulettes, double-breasted button fastening, belted waist, two side welt pockets, long sleeves, belted cuffs, storm flap and central rear vent.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/18/84/91/97/18849197_41358112_54.jpg,Burberry,AW23,"Cotton, Cotton, Viscose",COAL BLUE,/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18849197.jpg
20527841,drawstring hooded parka,light beige classic hood front zip fastening long sleeves drawstring cuffs two side inset pockets drawstring hem,"Women, Men, Clothing, Clothing, Coats, Coats, Parkas, Parkas",Unisex,https://cdn-images.farfetch-contents.com/20/52/78/41/20527841_50821612_54.jpg,Reebok LTD,AW23,Polyamide,"Neutrals, BEIGE / IVORY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20527841.jpg
19724871,panelled quilted coat,"panelled quilted coat from THOM BROWNE featuring navy blue, dark green, goose down, down-feather filling, logo patch to the front, drawstring hood, front press-stud fastening, chest patch pocket, long sleeves, two front patch pockets and curved hem.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/19/72/48/71/19724871_44638599_54.jpg,Thom Browne,AW23,"Polyester, Cotton, Furs & Skins->Goose Down, Cotton","Blue, Green, 310 DK GREEN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19724871.jpg
20946246,long single-breasted coat,"long single-breasted coat from BURBERRY featuring black, camel hair, wool blend, notched lapels, front button fastening, belted waist, two front flap pockets, central rear vent, below-knee length and straight hem.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/94/62/46/20946246_51199904_54.jpg,Burberry,AW23,"Wool, Cupro, Natural (other)->Camel Hair","Black, A1189 BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20946246.jpg
21114302,single-breasted reversible cashmere coat,"single-breasted reversible cashmere coat from KIRED featuring beige, cashmere, notched lapels, long sleeves, front button fastening, two side patch pockets, straight hem and reversible.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/21/11/43/02/21114302_51234884_54.jpg,Kired,AW23,Cashmere,"Neutrals, BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21114302.jpg
